Date,Rand / Dollar Daily
5/1/2023,18.29
5/2/2023,18.37
5/3/2023,18.46
5/4/2023,18.22
5/5/2023,18.27
5/8/2023,18.40
5/9/2023,18.34
5/10/2023,18.64
5/11/2023,18.86
5/12/2023,19.22
5/15/2023,19.08
5/16/2023,19.13
5/17/2023,19.10
5/18/2023,19.32
5/19/2023,19.30
5/22/2023,19.46
5/23/2023,19.26
5/24/2023,19.19
5/25/2023,19.31
5/26/2023,19.77
5/29/2023,19.65
5/30/2023,19.78
5/31/2023,19.74
6/1/2023,19.73
6/2/2023,19.57
6/5/2023,19.53
6/6/2023,19.24
6/7/2023,19.25
6/8/2023,19.10
6/9/2023,18.87
6/12/2023,18.74
6/13/2023,18.55
6/14/2023,18.65
6/15/2023,18.38
6/16/2023,18.25
6/19/2023,18.23
6/20/2023,18.23
6/21/2023,18.40
6/22/2023,18.38
6/23/2023,18.60
6/26/2023,18.73
6/27/2023,18.57
6/28/2023,18.56
6/29/2023,18.69
6/30/2023,18.74
7/3/2023,18.79
7/4/2023,18.78
7/5/2023,18.68
7/6/2023,18.80
7/7/2023,19.08
7/10/2023,18.93
7/11/2023,18.76
7/12/2023,18.47
7/13/2023,18.17
7/14/2023,17.95
7/17/2023,18.12
7/18/2023,18.00
7/19/2023,17.87
7/20/2023,17.87
7/21/2023,17.92
7/24/2023,17.98
7/25/2023,17.69
7/26/2023,17.57
7/27/2023,17.63
7/28/2023,17.80
7/31/2023,17.62
8/1/2023,17.91
8/2/2023,18.33
8/3/2023,18.47
8/4/2023,18.65
8/7/2023,18.50
8/8/2023,18.79
8/9/2023,18.87
8/10/2023,18.95
8/11/2023,18.84
8/14/2023,19.02
8/15/2023,19.08
8/16/2023,19.15
8/17/2023,19.23
8/18/2023,19.08
8/21/2023,19.01
8/22/2023,18.94
8/23/2023,18.74
8/24/2023,18.48
8/25/2023,18.84
8/28/2023,18.60
8/29/2023,18.53
8/30/2023,18.55
8/31/2023,18.71
9/1/2023,18.84
9/4/2023,18.78
9/5/2023,19.19
9/6/2023,19.11
9/7/2023,19.25
9/8/2023,19.10
9/11/2023,19.01
9/12/2023,18.92
9/13/2023,18.94
9/14/2023,18.79
9/15/2023,19.00
9/18/2023,18.95
9/19/2023,19.04
9/20/2023,18.93
9/21/2023,18.93
9/22/2023,18.92
9/25/2023,18.79
9/26/2023,18.84
9/27/2023,19.07
9/28/2023,19.17
9/29/2023,18.95
10/2/2023,18.97
10/3/2023,19.29
10/4/2023,19.35
10/5/2023,19.31
10/6/2023,19.51
10/9/2023,19.35
10/10/2023,19.34
10/11/2023,19.04
10/12/2023,18.83
10/13/2023,19.00
10/16/2023,18.98
10/17/2023,18.81
10/18/2023,18.75
